url_length,has_at_symbol,num_dots,is_https,num_hyphens,has_ip_address,num_suspicious_keywords,num_input_fields,has_password_field,form_action_mismatch,num_external_links,has_hidden_fields,num_iframes,url_entropy,domain_age_days,label
28,0,2,0,2,0,1,4,1,0,7,0,0,2.6368581527605355,3539,0.0
160,1,14,0,2,1,4,13,1,1,12,1,0,4.287730841167443,52,1.0
233,1,6,0,7,1,4,6,0,1,13,0,0,3.6869225947836872,106,1.0
245,0,3,0,9,1,4,15,1,0,20,1,4,3.7559016869324666,168,1.0
66,0,1,1,1,0,0,3,0,0,8,0,0,2.967547001827925,964,0.0
78,0,3,0,0,0,0,3,0,0,4,1,1,3.405632597159744,721,0.0
28,0,2,1,1,0,1,6,0,0,9,0,0,2.2975347023739996,313,0.0
151,1,3,1,3,1,4,11,1,1,11,0,0,3.5101948228791677,141,1.0
241,0,14,1,3,1,2,3,1,1,11,1,2,3.8800690982440016,30,1.0
74,0,6,1,7,0,2,13,1,1,27,0,0,4.799340545868015,28,1.0
207,0,12,0,3,1,3,17,1,1,27,0,0,4.147984057195162,136,1.0
59,0,2,1,0,0,0,3,0,1,7,0,0,3.403806937946687,3225,0.0
187,1,10,1,2,0,1,15,1,1,8,1,3,4.0149514537936115,11,1.0
158,0,5,1,7,1,2,6,1,1,15,1,1,4.288167689543269,159,1.0
73,0,1,0,0,0,1,7,1,0,7,1,1,2.49915581907377,2769,0.0
66,0,1,0,1,0,1,7,0,0,3,0,0,2.5708807923466503,3003,0.0
106,1,12,0,3,0,2,11,1,1,17,1,0,4.282600128279869,134,1.0
36,1,3,1,1,0,0,7,1,0,2,0,0,2.5976115232460484,2800,0.0
56,0,2,0,0,0,0,5,1,0,3,0,1,2.277902033228881,291,0.0
24,0,2,1,2,0,1,0,1,0,7,0,0,2.571043303516016,1374,0.0
218,1,13,0,8,1,1,18,1,1,22,1,1,3.537476123422774,20,1.0
25,0,1,1,2,0,1,5,0,0,2,0,0,2.4800830325832175,634,0.0
189,1,14,0,5,0,1,13,1,0,24,0,3,3.773094693322783,155,1.0
108,0,10,1,7,1,1,10,0,1,28,1,4,3.8662213407603607,29,1.0
27,0,3,1,2,0,1,7,1,0,3,0,1,2.403815086813433,3643,0.0
134,0,5,1,4,1,2,7,1,0,7,1,3,3.5434164751150505,134,1.0
219,1,10,0,4,1,1,16,0,0,8,1,3,3.596357863785689,68,1.0
36,0,3,0,0,0,1,7,0,0,4,0,1,2.193871540983839,574,0.0
212,0,5,0,5,0,3,4,1,1,15,1,1,4.429621781737349,15,1.0
68,1,8,0,5,0,3,10,1,1,16,1,4,3.708453487829937,5,1.0
44,0,3,1,1,0,1,5,1,0,6,0,1,3.0267126528177166,1744,0.0
246,1,4,1,3,0,3,10,1,1,8,0,1,3.532468342020475,114,1.0
59,1,2,0,2,0,1,2,0,0,6,1,1,2.5246586853426174,2562,0.0
68,0,2,0,0,0,0,2,1,0,3,1,0,3.234172047299252,2743,0.0
66,0,2,0,0,0,1,0,1,0,4,0,0,3.439662472649478,1331,0.0
34,1,2,1,1,0,1,3,0,0,8,0,1,2.78959819379791,1908,0.0
191,1,8,0,8,1,1,17,1,1,26,1,1,4.244064089024874,78,1.0
71,1,1,1,2,0,1,6,0,0,9,0,0,2.0286464834048066,1990,0.0
140,1,8,0,2,0,4,16,1,1,24,1,3,3.5188946019076806,99,1.0
203,1,13,0,6,0,1,9,1,1,12,0,3,4.015066684361859,6,1.0
48,1,3,1,1,0,0,0,0,0,4,0,1,2.866644601246561,1021,0.0
78,0,1,1,0,0,1,4,0,0,4,0,1,2.7608563328113354,2738,0.0
163,1,5,1,4,1,3,3,1,1,10,0,2,3.925696914562324,126,1.0
172,1,9,0,3,1,2,17,1,1,15,1,4,4.530412152505265,10,1.0
56,0,1,1,0,0,1,6,1,0,5,0,0,2.195916140054199,327,0.0
110,1,3,1,6,1,3,3,1,1,25,0,3,3.68663283027784,112,1.0
21,0,1,1,1,0,0,7,0,0,7,0,1,2.3284703448373363,3233,0.0
127,1,6,0,6,0,1,17,1,0,14,1,1,4.509247534880645,133,1.0
25,0,3,1,2,0,1,2,1,0,9,0,1,2.2139000807445357,2005,0.0
140,1,13,0,4,0,2,10,1,1,15,0,3,4.107662081881785,88,1.0
219,1,9,0,9,1,4,12,1,0,27,1,1,4.0948858615794945,72,1.0
223,1,6,0,7,0,3,11,1,1,17,1,1,3.5040622247306783,140,1.0
92,1,4,0,9,0,2,10,0,1,21,1,3,3.8265933495244004,54,1.0
58,0,1,0,2,0,0,3,1,0,2,0,1,2.102521427284537,249,0.0
64,0,2,1,1,0,1,1,1,1,5,0,1,2.576172366865654,3524,0.0
73,0,2,1,2,0,1,1,0,0,9,0,1,2.521452630464302,2302,0.0
74,0,2,1,0,0,0,2,1,0,9,0,0,2.5251572064268455,3243,0.0
110,1,7,1,9,0,2,10,1,0,14,1,0,4.630580264843195,121,1.0
220,0,11,0,5,0,1,8,1,1,28,1,4,4.012623263488891,114,1.0
204,1,5,1,5,1,2,6,0,1,7,1,1,3.5815221475229855,87,1.0
30,0,3,0,1,0,0,7,0,0,6,0,1,3.0868110110914717,3054,0.0
189,0,3,0,8,1,3,18,1,0,12,0,4,4.382548533826485,123,1.0
40,0,1,1,0,0,0,0,1,0,0,0,1,2.282220390814113,2742,0.0
168,1,10,0,3,1,3,3,1,0,6,1,3,4.016462049979939,150,1.0
69,0,3,1,0,0,1,1,0,0,3,0,0,2.452394911168885,3453,0.0
170,1,6,1,8,1,1,17,1,0,24,0,1,3.634349036474466,66,1.0
67,0,5,0,7,1,3,17,1,1,23,1,2,4.283745213335883,175,1.0
67,1,1,1,2,0,1,7,0,0,8,0,1,3.4066295232672257,3335,0.0
49,0,3,1,1,1,1,3,0,0,8,1,1,2.734558091296997,920,0.0
96,1,11,0,4,1,2,3,1,1,25,1,3,4.525962694872712,85,1.0
73,0,2,1,2,0,1,3,1,1,0,1,1,2.2019887420766855,1121,0.0
188,0,10,0,8,0,1,7,1,1,12,1,4,4.1692238846857546,13,1.0
74,0,2,1,0,0,1,6,1,0,8,0,1,3.0246202602112033,1904,0.0
58,0,3,1,0,0,0,0,0,0,7,0,0,2.1194243769911565,3403,0.0
29,0,1,1,2,0,1,0,0,0,7,0,1,2.754341116910629,3171,0.0
55,0,3,1,1,0,0,4,0,0,7,1,0,2.6879912315569814,973,0.0
103,1,14,1,2,0,1,14,0,1,7,1,1,3.944806384430393,93,1.0
53,0,1,1,1,0,0,2,1,0,7,1,0,2.2695396419769547,2382,0.0
26,0,3,0,2,0,1,3,0,0,3,0,0,2.7101523548505404,285,0.0
67,0,2,1,1,0,1,0,1,0,1,0,1,3.0549579602950674,1141,0.0
66,0,1,1,0,0,1,1,1,0,8,0,1,2.993259518485359,447,0.0
71,0,3,1,2,0,1,2,0,1,6,0,0,2.2266365714080787,3108,0.0
99,0,3,0,8,0,1,3,1,1,17,1,4,3.8809771300643803,115,1.0
167,0,4,1,4,1,1,9,1,1,26,1,0,3.62594384517009,11,1.0
214,0,6,1,3,0,2,19,0,0,10,0,1,3.973615103726056,132,1.0
59,0,2,0,0,0,0,5,0,0,0,1,0,3.416385559468477,2057,0.0
28,0,1,0,1,0,0,6,1,0,1,1,1,3.257441175501145,1553,0.0
171,0,14,1,5,1,2,9,1,0,5,1,3,3.958720266925496,79,1.0
76,0,3,0,2,0,0,7,1,0,7,0,1,3.488372868733363,731,0.0
74,1,12,0,2,1,4,6,1,1,20,1,2,3.7660270424896143,80,1.0
75,0,2,1,1,0,1,4,1,0,2,0,0,2.2049353146481283,840,0.0
210,0,14,0,5,1,1,16,1,1,9,1,3,4.446574089905331,152,1.0
246,1,14,0,6,1,2,19,1,0,20,1,3,4.549301386423286,177,1.0
40,0,3,1,1,0,1,7,1,0,3,0,0,3.3753122433857286,2651,0.0
48,1,1,1,2,1,1,5,1,0,9,0,0,3.1287080225806077,2285,0.0
72,1,7,0,4,1,4,8,1,1,22,1,4,4.099148418546282,69,1.0
51,0,3,1,0,0,0,6,1,0,5,0,0,3.017540134674353,2626,0.0
70,0,1,1,2,0,1,7,1,0,3,0,0,2.7524447133846413,1802,0.0
79,0,2,1,2,0,0,5,1,0,5,0,1,2.5751942518215385,1868,0.0
45,0,1,1,1,0,1,6,0,0,3,0,0,2.875631283174605,1139,0.0
203,1,12,0,5,1,4,18,0,0,5,0,0,4.447820238870328,141,1.0
68,0,3,1,1,0,1,1,1,0,2,1,0,2.292909999870741,1693,0.0
65,0,1,1,0,0,1,0,1,0,0,0,0,3.2036776182222404,949,0.0
149,1,11,0,6,1,3,15,1,1,24,1,0,4.620946336339785,25,1.0
92,1,10,1,6,1,2,15,1,0,15,1,0,4.724138529371392,159,1.0
188,1,11,0,6,0,3,15,1,1,22,1,4,3.882640149248569,102,1.0
80,0,4,0,7,0,4,8,1,1,27,0,3,4.767196371782219,106,1.0
193,0,9,0,8,0,3,19,1,1,19,1,0,4.238138015525147,129,1.0
110,1,9,0,5,0,1,13,1,1,24,0,2,4.7561743926251925,105,1.0
207,1,10,0,9,1,2,8,1,1,22,1,4,4.974597049422231,145,1.0
71,0,1,1,0,0,0,1,0,0,7,0,0,2.485857974844803,3359,0.0
207,1,9,1,5,1,3,8,1,1,24,1,4,4.312043957594198,119,1.0
31,0,3,1,2,0,1,7,1,0,8,0,0,2.59518932219848,1650,0.0
58,0,3,1,1,0,0,5,1,0,5,1,1,2.0674031786790894,2100,0.0
56,0,3,1,1,0,1,1,0,0,2,0,0,3.442201188576515,3491,0.0
206,0,9,0,2,0,2,10,1,1,16,1,4,3.709538558904408,73,1.0
31,0,3,1,2,0,1,6,1,0,3,0,0,2.0821808703873708,1055,0.0
174,0,4,1,5,1,4,16,0,1,26,0,3,4.225361878555801,44,1.0
27,0,1,1,2,0,1,4,1,0,0,0,1,3.042183497898177,2027,0.0
87,1,10,0,6,0,3,7,1,0,29,0,1,3.5581354033312738,68,1.0
40,0,1,1,1,0,0,6,0,1,9,0,1,2.1269407932801356,1029,0.0
67,1,7,1,2,0,3,19,1,1,9,1,3,4.120559047865045,66,1.0
39,0,1,1,1,0,1,0,0,0,0,0,0,3.141191763730097,950,0.0
186,1,14,1,2,0,1,17,1,1,23,1,4,4.975602550513637,75,1.0
201,1,11,0,5,1,1,3,1,0,27,1,2,4.925460520604272,147,1.0
29,0,1,1,2,0,1,4,1,0,1,0,1,3.1753340249636395,960,0.0
170,1,14,1,6,1,3,4,1,1,8,0,2,4.6457847503003205,21,1.0
51,0,2,0,2,0,1,0,0,0,9,0,0,2.0653923826888914,3252,0.0
74,0,3,1,2,0,1,3,0,0,7,0,1,2.286131494614896,376,0.0
46,0,1,1,1,0,0,5,1,0,3,0,1,2.1826495663993484,2515,0.0
57,0,1,1,0,0,0,5,1,0,1,0,0,2.6734696610957593,1096,0.0
27,0,3,1,1,0,1,5,0,0,6,0,0,2.4949539709170403,2769,0.0
37,0,2,1,2,1,0,7,1,0,4,0,0,2.5742978232253084,1080,0.0
28,0,3,1,2,0,1,4,1,0,4,0,1,2.589846046959316,1887,0.0
205,0,13,1,2,0,3,11,1,0,22,1,0,4.269253043652713,167,1.0
27,0,3,1,0,0,1,1,1,0,4,1,1,2.602445312499153,3439,0.0
195,1,4,0,6,1,3,6,0,1,18,0,4,4.930905128789613,60,1.0
80,1,4,1,4,0,1,19,1,1,29,0,0,3.949907734697095,152,1.0
220,1,8,0,3,1,2,16,1,1,18,1,4,3.660833591312731,146,1.0
128,1,11,0,6,0,1,15,1,0,6,1,0,3.7316236363088193,117,1.0
222,0,3,0,5,1,4,8,1,1,14,0,1,3.8486060693216197,173,1.0
67,0,1,1,0,0,0,4,0,0,5,1,0,2.771481398586367,933,0.0
145,0,9,1,3,0,4,10,1,1,26,1,4,3.759135134369315,29,1.0
187,1,10,1,6,1,2,3,1,1,25,0,3,4.178550138809856,14,1.0
141,0,8,1,9,1,2,17,1,1,10,0,4,4.906492190924888,28,1.0
237,0,11,0,4,1,2,18,1,1,23,1,3,3.881388741483396,32,1.0
66,0,2,0,2,0,1,0,1,0,2,1,1,2.533189777826208,247,0.0
24,0,2,1,2,0,1,7,1,0,0,0,0,2.7047128443243516,519,0.0
235,1,3,0,3,1,4,19,1,1,16,0,0,3.528648799030589,126,1.0
79,0,2,1,1,0,1,7,1,0,4,0,1,2.400942623114757,2167,0.0
186,0,12,1,7,0,1,11,0,1,14,1,3,3.7582962191354494,49,1.0
26,0,3,1,2,0,1,4,0,0,7,0,0,3.417508674513022,3155,0.0
72,0,3,1,1,0,0,1,1,0,8,0,1,2.687565558707991,1848,0.0
196,1,7,0,7,0,3,19,1,0,17,1,1,4.32032176068115,136,1.0
240,1,13,0,8,1,4,7,1,1,27,1,1,3.6065561321050117,98,1.0
84,1,13,0,6,1,4,11,1,1,11,1,4,4.760028247881047,170,1.0
53,0,1,0,1,0,0,2,0,0,7,0,0,2.0898899723456825,428,0.0
60,0,3,1,2,0,1,5,0,0,5,0,0,2.300100106426349,3525,0.0
78,0,2,1,1,0,1,2,0,0,1,0,0,2.3967082363054955,3098,0.0
79,0,2,0,0,0,1,5,0,1,7,0,1,3.257619096751056,2684,0.0
53,0,3,1,0,0,1,6,0,0,6,0,1,2.6393471873971466,1996,0.0
111,1,12,0,2,1,2,11,1,0,22,1,1,4.155136726770612,66,1.0
113,0,7,0,5,1,1,12,1,1,5,0,1,4.271340516898967,4,1.0
125,1,10,0,7,1,1,4,1,0,23,1,4,3.5055536102486253,85,1.0
80,0,11,0,9,1,1,10,0,0,7,1,1,4.749040619524131,16,1.0
140,1,13,0,2,0,3,9,1,0,21,1,3,4.021673604573331,56,1.0
59,0,1,1,2,0,1,7,0,0,8,0,1,2.6676665520801923,3385,0.0
103,0,9,0,2,1,4,13,0,0,12,0,1,4.126087436009151,130,1.0
148,1,3,0,7,1,1,19,1,1,26,0,4,4.808779927744044,116,1.0
67,0,2,0,0,0,1,7,0,0,2,0,0,3.0968207299944215,2698,0.0
30,0,3,1,1,0,0,2,1,0,5,0,1,2.610712076833867,2763,0.0
38,0,1,1,2,0,1,4,1,0,2,0,1,2.8854680157361425,1013,0.0
35,0,2,1,2,0,0,7,1,0,7,0,1,2.460500274272501,1544,0.0
27,0,3,1,1,0,0,0,0,0,6,0,0,3.324463249746346,2273,0.0
87,1,3,0,5,0,1,18,1,1,18,0,2,3.627902512417516,158,1.0
30,1,2,1,0,1,0,6,1,0,7,1,1,3.455281586459409,2713,0.0
144,1,11,1,7,1,4,3,1,1,27,0,4,4.534686870969299,167,1.0
65,0,2,0,2,0,1,4,0,0,9,0,1,3.3368939733730976,377,0.0
94,0,10,0,6,0,3,6,1,0,17,1,3,4.679497483092561,177,1.0
183,1,8,0,4,1,1,4,0,1,29,1,3,4.173902237698455,64,1.0
63,0,3,1,2,0,0,0,0,0,8,1,0,2.5731722967642776,2323,0.0
27,0,1,1,1,0,0,5,1,0,8,0,0,2.1927559677518147,848,0.0
59,0,2,0,1,0,0,4,0,0,3,0,1,3.330360086588264,2797,0.0
86,1,14,0,2,0,4,8,1,1,19,0,1,4.026166434515468,105,1.0
71,0,1,1,0,0,0,3,1,0,9,1,0,2.8312905449230974,2709,0.0
111,1,10,0,9,1,2,17,1,0,11,0,4,4.804028451488521,3,1.0
65,0,2,1,0,1,1,2,1,0,8,1,0,2.1471783108507685,638,0.0
33,0,2,1,1,0,0,7,0,0,5,0,0,3.414851425020453,3224,0.0
228,1,10,1,3,1,1,14,0,0,16,0,4,4.490582378593738,31,1.0
52,0,2,1,0,0,1,7,1,0,9,0,0,2.2611638712998525,1384,0.0
73,1,2,1,0,0,1,4,1,1,6,0,1,3.301466049368,2106,0.0
77,1,5,1,5,1,2,17,1,1,5,1,4,3.900158095435886,73,1.0
25,0,1,1,1,0,1,4,0,0,1,1,0,2.1737707288960078,1842,0.0
152,1,8,0,7,1,2,15,1,1,21,0,1,3.9431330544706475,156,1.0
33,0,1,1,0,0,0,0,0,0,7,0,0,3.060309268315158,464,0.0
183,0,3,1,6,0,4,10,0,0,23,1,3,4.318502997452952,105,1.0
48,0,3,0,2,0,0,3,0,0,5,1,0,3.2193572461291984,1269,0.0
70,0,1,1,1,0,0,7,0,0,8,0,1,2.9965022666934167,1889,0.0
231,1,4,1,5,1,4,10,1,1,12,1,0,4.818119785515394,36,1.0
58,0,3,1,0,0,1,1,1,0,2,0,1,3.303445659272441,361,0.0
152,1,9,0,5,1,2,5,1,1,12,0,2,3.543201770819778,131,1.0
21,0,1,1,1,0,0,3,1,0,6,0,1,2.190978893382937,3042,0.0
247,0,5,0,4,1,2,17,1,1,20,1,3,4.489990175202976,38,1.0
118,1,9,0,6,0,1,14,1,0,15,0,3,4.175164788027544,25,1.0
175,1,5,1,4,1,4,6,1,1,8,1,0,4.007346450975927,173,1.0
30,0,1,1,0,0,0,4,0,0,2,0,1,3.4916465038141453,1741,0.0
177,1,9,0,3,1,2,11,1,0,21,1,3,4.954236349109268,147,1.0
89,1,12,0,4,0,4,15,1,0,23,0,0,4.240110050620093,141,1.0
74,0,8,0,2,1,1,19,1,1,23,0,3,3.6358392014013807,166,1.0
172,1,6,1,3,1,2,14,1,1,16,0,1,4.997299861498426,146,1.0
50,0,3,0,1,0,1,1,0,1,4,0,1,2.3810530976712627,2556,0.0
44,0,1,0,0,0,1,1,0,0,1,1,0,2.743286934967767,846,0.0
220,0,3,0,3,1,3,18,1,1,10,1,4,4.713792205485111,40,1.0
222,1,10,1,8,1,1,5,1,0,21,0,4,3.7742967901323086,57,1.0
112,1,13,0,5,1,1,15,1,1,29,0,1,4.518331005783177,139,1.0
205,1,3,0,3,0,1,15,1,1,23,1,3,4.722190501285488,34,1.0
74,1,4,1,8,0,4,13,1,0,27,1,3,4.225324776185554,102,1.0
211,1,4,1,9,1,3,11,1,0,22,0,1,3.8906046631818625,73,1.0
154,1,6,0,3,1,3,6,1,0,20,1,4,3.6785319567397115,146,1.0
71,0,2,1,2,0,1,1,0,0,3,0,0,3.446764333987482,1532,0.0
50,0,1,1,0,0,0,4,1,0,9,0,1,3.212573646859174,3497,0.0
72,1,3,1,0,1,0,3,1,0,8,0,1,2.624076357705154,3077,0.0
232,1,13,1,5,1,2,8,1,0,19,1,1,4.360147738033492,77,1.0
81,0,13,0,4,0,4,6,1,1,27,1,1,4.881715820271262,25,1.0
38,0,3,1,0,0,1,3,0,0,8,0,0,2.5214985061383,1217,0.0
69,0,2,1,1,0,0,6,1,0,6,0,1,2.1762079104092886,1752,0.0
50,0,3,0,1,0,1,7,0,0,1,0,0,2.835434194791103,3263,0.0
131,1,10,0,6,0,2,14,1,1,26,1,4,3.6999902245138627,32,1.0
48,0,1,1,2,0,1,6,0,0,0,1,1,3.396696763353274,3184,0.0
188,0,13,1,2,1,3,7,1,1,26,1,2,4.250050873354412,155,1.0
104,1,7,1,4,1,3,3,1,1,18,1,3,4.807378824293609,11,1.0
149,0,9,0,4,1,2,10,1,1,14,0,3,4.290575234738846,92,1.0
158,0,7,1,2,0,3,19,1,0,17,0,1,4.003523600964263,30,1.0
25,0,1,1,0,0,0,6,0,0,3,1,0,2.429279370026201,1549,0.0
62,0,1,1,0,0,1,1,1,0,2,0,1,2.458344591532145,2552,0.0
76,1,11,1,2,0,4,19,1,1,18,1,3,3.710887877260048,58,1.0
69,0,1,1,2,0,1,6,1,0,3,0,1,2.149236400493559,3321,0.0
163,1,12,1,7,1,3,4,1,0,12,1,2,4.13717501228628,89,1.0
106,1,14,0,7,1,2,11,1,1,7,0,0,3.788519544730873,174,1.0
71,1,3,0,3,1,3,18,1,1,28,1,3,3.705579204242233,73,1.0
42,0,3,0,2,0,1,7,0,0,8,0,0,3.33048060428498,1406,0.0
220,1,7,0,2,1,3,6,1,1,5,0,0,4.605239683627256,89,1.0
59,0,3,1,1,0,0,2,1,0,1,0,0,2.967705685903581,3446,0.0
181,0,9,1,3,1,3,15,1,1,24,0,4,4.843589533272672,22,1.0
172,1,7,0,2,1,1,19,1,1,29,1,1,4.898522212450566,159,1.0
63,0,2,1,2,0,0,6,0,0,1,0,1,3.0870564127228373,1817,0.0
73,1,5,0,4,1,1,10,0,1,14,0,1,4.515717450007504,175,1.0
46,0,2,0,1,0,1,4,1,0,6,0,0,2.0697440595369567,2654,0.0
28,1,1,1,1,0,1,4,0,0,7,1,1,2.3808212691860478,2845,0.0
47,0,2,0,1,0,1,5,0,0,2,0,0,2.857823882399165,2574,0.0
152,1,13,0,6,1,4,7,1,1,13,1,0,3.5856415068619154,14,1.0
223,0,3,1,8,1,4,9,1,1,22,0,4,4.839670611983709,90,1.0
61,1,12,0,3,0,4,16,1,1,26,1,3,4.521429937105364,75,1.0
31,0,3,1,2,0,1,4,0,0,0,0,1,2.167456167981778,483,0.0
175,0,13,1,2,1,3,3,1,1,20,1,0,4.272176352399701,99,1.0
217,1,5,1,6,1,3,17,0,1,15,0,4,4.859151393020639,26,1.0
204,1,4,0,5,0,4,3,1,0,22,1,2,4.920320294511535,75,1.0
54,0,3,1,1,0,0,6,1,1,2,0,0,2.7450159103665914,2365,0.0
49,0,2,1,1,0,1,3,1,0,9,1,0,3.2332088136501547,3106,0.0
32,0,3,1,0,0,1,4,0,0,8,0,0,3.421906019569477,639,0.0
57,0,2,1,0,0,0,6,1,0,1,1,0,3.041340224062557,1084,0.0
199,1,13,1,6,0,4,16,1,1,27,0,4,4.629271212637076,106,1.0
126,1,9,0,6,1,1,7,1,0,17,1,3,4.135223013873999,139,1.0
60,0,11,0,9,1,1,4,1,1,26,1,0,3.9498114026660973,161,1.0
26,0,2,1,0,0,1,4,0,0,2,0,1,2.978089813991937,385,0.0
160,0,11,0,4,0,4,3,1,1,17,0,1,3.615193526430101,5,1.0
80,1,9,0,3,1,1,12,1,1,12,1,3,4.725786576089962,110,1.0
130,1,11,0,6,1,4,7,1,0,22,0,4,4.849614617613307,75,1.0
61,0,3,1,2,1,1,7,0,1,1,0,0,2.019846918790427,754,0.0
158,0,4,0,6,0,1,15,1,0,22,0,3,3.8198058970837026,155,1.0
135,1,12,0,3,1,1,12,0,0,20,0,1,4.465579709487419,99,1.0
239,1,11,1,3,1,1,12,1,1,10,0,4,3.569294724802443,148,1.0
42,0,3,1,2,0,0,2,1,0,5,0,1,2.475328328258406,3265,0.0
29,0,1,1,2,0,0,7,1,0,9,0,1,2.194955654928219,881,0.0
156,1,11,0,7,1,3,18,0,0,14,1,3,4.8674493705627135,163,1.0
31,0,1,1,2,0,0,6,1,0,2,1,1,3.1730514048273784,2317,0.0
75,0,3,1,1,0,0,1,0,0,8,0,0,2.403091204197186,1118,0.0
49,0,1,1,1,1,1,5,1,0,7,0,0,3.2637170573023475,2905,0.0
63,0,3,1,1,0,1,3,0,0,5,0,0,2.409015578591722,698,0.0
53,0,3,1,1,0,1,5,1,0,1,0,0,3.105028813804048,2189,0.0
59,0,2,1,2,0,1,7,0,0,3,0,1,2.026202195418504,2761,0.0
45,0,2,1,2,1,0,0,1,1,2,0,1,2.8603769104306838,3170,0.0
165,1,10,0,9,1,3,5,1,1,27,0,0,4.563446400685667,5,1.0
122,1,10,0,7,1,2,19,1,1,25,0,2,3.715432067103224,23,1.0
97,1,7,1,8,0,4,5,1,1,20,0,1,3.912755168732102,108,1.0
83,0,10,1,3,1,3,19,1,1,7,1,3,3.7853418962302063,157,1.0
35,0,2,1,2,0,0,0,1,0,6,0,0,2.7541755661579574,2954,0.0
189,0,4,0,9,0,2,6,1,1,8,1,3,4.818986695043841,93,1.0
221,1,7,1,3,1,2,15,1,1,24,0,4,3.964503305601939,119,1.0
210,0,14,1,8,0,3,17,1,1,18,1,1,4.330969230830121,27,1.0
113,1,9,1,8,1,2,5,0,0,28,0,4,3.9834872367041374,177,1.0
72,0,1,1,2,0,1,7,1,0,8,0,0,3.268005833759621,715,0.0
28,0,1,1,2,0,1,5,0,0,5,0,1,2.735525661583491,3456,0.0
67,0,2,1,0,0,1,7,1,0,4,0,1,2.9226898738254676,3480,0.0
108,1,4,0,5,1,4,4,1,1,23,0,2,4.18670739883881,109,1.0
238,1,7,1,4,0,3,16,1,1,27,1,0,4.017896828085579,97,1.0
59,0,3,1,2,0,0,1,1,1,8,0,1,3.4522372493412745,2431,0.0
64,1,7,1,6,1,1,8,0,1,25,1,4,3.8910631611992783,64,1.0
73,0,1,1,1,0,1,3,1,0,5,0,0,2.8133065830789725,3526,0.0
107,0,3,1,9,0,2,5,1,1,25,1,1,3.5287518312874666,65,1.0
50,0,1,1,2,0,1,5,1,0,7,0,1,2.7711303123189106,1390,0.0
73,0,2,1,2,0,1,1,0,0,6,1,0,2.445417643930358,3419,0.0
162,1,3,0,8,0,2,13,1,1,25,0,0,3.9074962870454835,177,1.0
204,1,5,0,9,0,4,13,1,1,23,1,4,4.683390535923319,2,1.0
72,0,1,1,1,0,1,4,0,0,7,0,1,2.3745205819707667,2953,0.0
38,0,3,1,1,0,0,7,0,0,1,1,0,3.1491826270176952,2599,0.0
